Orbit,Frame,Lat,Lon,Node
117,362,68.8657,-162.0026,DESCENDING
117,368,67.2705,-162.9844,DESCENDING
117,373,65.7924,-163.7703,DESCENDING
117,378,64.3123,-164.4963,DESCENDING
117,383,62.8295,-165.1702,DESCENDING
117,388,61.3449,-165.7949,DESCENDING
121,120,38.0906,-85.4502,ASCENDING
121,125,39.5926,-85.7934,ASCENDING
121,130,41.0936,-86.141,ASCENDING
121,135,42.5941,-86.498,ASCENDING
121,140,44.0942,-86.8648,ASCENDING
121,145,45.5929,-87.2377,ASCENDING
121,150,47.0911,-87.6268,ASCENDING
129,428,49.3682,-105.8747,DESCENDING
129,433,47.872,-106.2799,DESCENDING
129,438,46.3749,-106.6725,DESCENDING
129,443,44.8777,-107.0621,DESCENDING
129,448,43.3804,-107.4486,DESCENDING
129,453,41.882,-107.8112,DESCENDING
12,431,48.4593,-97.8814,DESCENDING
12,436,46.9625,-98.279,DESCENDING
12,441,45.4648,-98.6641,DESCENDING
12,446,43.9659,-99.0396,DESCENDING
12,451,42.4663,-99.4069,DESCENDING
12,456,40.966,-99.7649,DESCENDING
131,357,70.1624,-146.724,DESCENDING
131,363,68.5713,-147.8366,DESCENDING
131,368,67.096,-148.6814,DESCENDING
131,373,65.6169,-149.4553,DESCENDING
131,378,64.1376,-150.1877,DESCENDING
131,383,62.6551,-150.8691,DESCENDING
131,388,61.1708,-151.4835,DESCENDING
131,393,59.682,-152.0579,DESCENDING
135,136,42.9052,-72.1804,ASCENDING
136,119,37.5843,-95.6303,ASCENDING
136,124,39.0867,-95.9728,ASCENDING
136,129,40.5886,-96.3197,ASCENDING
136,134,42.0847,-96.6721,ASCENDING
14,366,67.6349,-140.1277,DESCENDING
14,372,66.0377,-141.0225,DESCENDING
14,377,64.5578,-141.7729,DESCENDING
14,382,63.0762,-142.4533,DESCENDING
14,387,61.5941,-143.0909,DESCENDING
14,392,60.0257,-143.7073,DESCENDING
150,120,38.1061,-81.3383,ASCENDING
150,125,39.607,-81.6809,ASCENDING
150,130,41.1082,-82.0332,ASCENDING
100,429,48.8896,-110.1285,DESCENDING
100,434,47.3926,-110.5362,DESCENDING
100,439,45.8981,-110.929,DESCENDING
102,356,70.4987,-150.5843,DESCENDING
102,362,68.9112,-151.7116,DESCENDING
102,367,67.4375,-152.6116,DESCENDING
102,372,65.9581,-153.3993,DESCENDING
102,377,64.4779,-154.1274,DESCENDING
102,382,62.9974,-154.8153,DESCENDING
102,387,61.5121,-155.4567,DESCENDING
102,392,60.0249,-156.0318,DESCENDING
102,397,58.537,-156.5729,DESCENDING
102,402,57.0472,-157.0946,DESCENDING
106,128,40.3851,-75.6797,ASCENDING
106,133,41.8861,-76.0308,ASCENDING
106,138,43.3865,-76.3962,ASCENDING
107,118,37.3654,-99.6663,ASCENDING
107,123,38.8682,-100.0031,ASCENDING
107,128,40.3697,-100.3474,ASCENDING
107,133,41.8708,-100.6996,ASCENDING
107,138,43.371,-101.0645,ASCENDING
107,143,44.87,-101.4351,ASCENDING
107,148,46.3682,-101.816,ASCENDING
107,153,47.8654,-102.2069,ASCENDING
107,158,49.3616,-102.6117,ASCENDING
113,444,44.523,-72.1741,DESCENDING
114,428,49.4055,-95.597,DESCENDING
114,433,48.0613,-95.9658,DESCENDING
116,360,69.3633,-136.998,DESCENDING
116,366,67.7725,-138.0043,DESCENDING
116,371,66.296,-138.8444,DESCENDING
116,376,64.8169,-139.6058,DESCENDING
116,381,63.3358,-140.296,DESCENDING
116,386,61.8525,-140.9464,DESCENDING
116,391,60.3724,-141.523,DESCENDING
158,427,49.5278,-101.71,DESCENDING
158,432,48.0321,-102.1185,DESCENDING
158,437,46.5346,-102.5148,DESCENDING
158,442,45.0367,-102.8979,DESCENDING
158,447,43.5384,-103.2721,DESCENDING
158,452,42.0389,-103.6436,DESCENDING
158,457,40.5392,-104.0034,DESCENDING
158,462,39.0379,-104.3479,DESCENDING
160,359,69.8242,-142.8629,DESCENDING
160,364,68.2317,-143.9283,DESCENDING
160,369,66.756,-144.7495,DESCENDING
160,374,65.278,-145.533,DESCENDING
160,379,63.7969,-146.2589,DESCENDING
160,384,62.3148,-146.9086,DESCENDING
160,389,60.8268,-147.5135,DESCENDING
164,142,44.7513,-68.4952,ASCENDING
164,147,46.2504,-68.8736,ASCENDING
164,152,47.7476,-69.2628,ASCENDING
165,120,37.9434,-91.5866,ASCENDING
165,125,39.4451,-91.9293,ASCENDING
165,130,40.9467,-92.2784,ASCENDING
165,135,42.4476,-92.6351,ASCENDING
165,140,43.9471,-92.9993,ASCENDING
165,145,45.446,-93.3733,ASCENDING
165,150,46.9449,-93.756,ASCENDING
165,155,48.4929,-94.1671,ASCENDING
173,428,49.1755,-112.1128,DESCENDING
173,433,47.6802,-112.5161,DESCENDING
173,438,46.1844,-112.9135,DESCENDING
173,443,44.6848,-113.3083,DESCENDING
173,448,43.1856,-113.6556,DESCENDING
19,117,37.0428,-87.2825,ASCENDING
19,122,38.5457,-87.6218,ASCENDING
19,127,39.9507,-87.9422,ASCENDING
27,430,48.6027,-108.1453,DESCENDING
27,435,47.1055,-108.5445,DESCENDING
27,440,45.6108,-108.9381,DESCENDING
27,445,44.1109,-109.3335,DESCENDING
27,450,42.6121,-109.685,DESCENDING
